year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,9,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2204.00,280.00,61.70,17.36,88.36,0.00,112.57,40.00,4.00,24383.00,7840.00,2297.00,3690.00,0.00,10556.00
2024,9,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",709.00,159.00,63.21,3.02,35.25,0.07,57.46,4.00,0.00,11435.00,5343.00,238.00,1327.00,6.00,4521.00
2024,9,AS,Alaska Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",138.00,37.00,10.67,1.63,18.47,0.00,6.23,2.00,1.00,1859.00,606.00,135.00,907.00,0.00,211.00
2024,9,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",276.00,57.00,26.27,0.98,18.84,0.00,10.91,0.00,1.00,3588.00,1981.00,40.00,657.00,0.00,910.00
2024,9,DL,Delta Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19151.00,2429.00,709.98,122.72,690.90,0.68,904.72,101.00,30.00,163868.00,68972.00,12036.00,26112.00,32.00,56716.00
2024,9,F9,Frontier Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1071.00,348.00,68.57,7.06,127.52,0.00,144.85,34.00,2.00,22058.00,5523.00,684.00,4820.00,0.00,11031.00
2024,9,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",10.00,1.00,0.00,0.00,0.44,0.00,0.56,0.00,0.00,55.00,0.00,0.00,24.00,0.00,31.00
2024,9,NK,Spirit Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",739.00,148.00,31.84,8.88,84.65,1.49,21.14,35.00,1.00,10021.00,2547.00,666.00,4349.00,76.00,2383.00
2024,9,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",214.00,45.00,14.28,3.56,15.23,0.00,11.93,5.00,2.00,4432.00,611.00,510.00,478.00,0.00,2833.00
2024,9,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",514.00,84.00,54.61,18.65,10.74,0.00,0.00,6.00,3.00,6621.00,4726.00,1326.00,569.00,0.00,0.00
2024,9,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",681.00,148.00,49.45,4.80,51.58,0.00,42.18,7.00,2.00,9197.00,3085.00,675.00,2385.00,0.00,3052.00
2024,9,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2454.00,311.00,88.00,9.65,105.02,0.60,107.73,16.00,4.00,15501.00,4545.00,744.00,4898.00,12.00,5302.00
2024,9,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",57.00,6.00,2.85,0.00,1.77,0.00,1.38,1.00,0.00,376.00,109.00,0.00,57.00,0.00,210.00
2024,9,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",87.00,12.00,3.15,0.94,4.53,0.00,3.38,2.00,0.00,706.00,136.00,117.00,177.00,0.00,276.00
2024,8,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1919.00,215.00,67.74,8.05,41.72,0.00,97.49,40.00,1.00,20110.00,9418.00,896.00,2047.00,0.00,7749.00
2024,8,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",738.00,271.00,88.81,13.75,42.57,0.04,125.83,24.00,1.00,23082.00,7463.00,1729.00,2229.00,3.00,11658.00
2024,8,AS,Alaska Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",153.00,48.00,15.32,0.84,20.86,0.00,10.98,2.00,0.00,2268.00,1144.00,49.00,707.00,0.00,368.00
2024,8,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",238.00,81.00,35.14,0.60,28.73,0.36,16.17,19.00,2.00,5711.00,2180.00,189.00,1705.00,15.00,1622.00
2024,8,DL,Delta Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20190.00,2845.00,953.77,160.86,585.50,1.92,1142.95,75.00,37.00,227765.00,103253.00,16387.00,29517.00,143.00,78465.00
2024,8,F9,Frontier Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1034.00,405.00,73.02,6.68,140.31,0.00,184.99,41.00,1.00,30629.00,5656.00,662.00,7865.00,0.00,16446.00
2024,8,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",54.00,15.00,3.34,3.54,4.43,0.00,3.69,1.00,0.00,923.00,85.00,337.00,140.00,0.00,361.00
2024,8,NK,Spirit Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",885.00,319.00,70.78,9.97,161.14,2.88,74.23,32.00,1.00,23189.00,4689.00,990.00,10843.00,106.00,6561.00
2024,8,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",199.00,44.00,10.19,3.09,15.41,0.00,15.31,9.00,0.00,4013.00,596.00,146.00,579.00,0.00,2692.00
2024,8,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",685.00,133.00,102.91,21.90,7.35,0.00,0.85,7.00,0.00,14318.00,9600.00,4306.00,390.00,0.00,22.00
2024,8,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",688.00,171.00,54.78,7.37,46.49,0.00,62.36,17.00,4.00,12516.00,3475.00,1632.00,2222.00,0.00,5187.00
2024,8,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2596.00,468.00,133.16,14.86,100.35,2.62,217.01,46.00,3.00,26942.00,7523.00,1101.00,4468.00,77.00,13773.00
2024,8,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",39.00,6.00,1.95,0.88,1.98,0.00,1.19,0.00,0.00,440.00,137.00,107.00,121.00,0.00,75.00
2024,8,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",103.00,9.00,3.16,1.98,3.20,0.00,0.67,6.00,1.00,647.00,272.00,200.00,115.00,0.00,60.00
2024,7,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1911.00,478.00,104.51,22.10,137.50,0.00,213.88,124.00,13.00,51933.00,15995.00,2013.00,12360.00,0.00,21565.00
2024,7,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",771.00,340.00,96.76,10.65,74.07,0.17,158.35,23.00,7.00,29353.00,7445.00,1488.00,4559.00,14.00,15847.00
2024,7,AS,Alaska Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",155.00,61.00,11.10,0.23,39.64,0.00,10.03,1.00,0.00,2785.00,524.00,6.00,1725.00,0.00,530.00
2024,7,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",245.00,103.00,45.08,0.72,33.85,0.00,23.34,4.00,3.00,8647.00,3800.00,13.00,1886.00,0.00,2948.00
2024,7,DL,Delta Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20679.00,5544.00,1886.58,158.63,1347.12,3.40,2148.28,1508.00,113.00,648300.00,321792.00,13129.00,94682.00,311.00,218386.00
2024,7,F9,Frontier Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",995.00,423.00,82.87,2.71,155.74,0.00,181.68,53.00,1.00,34285.00,7764.00,192.00,10620.00,0.00,15709.00
2024,7,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",55.00,15.00,3.25,0.00,7.06,0.00,4.69,1.00,0.00,747.00,187.00,0.00,298.00,0.00,262.00
2024,7,NK,Spirit Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",892.00,403.00,109.79,4.76,174.30,5.76,108.39,38.00,2.00,32443.00,8958.00,541.00,12794.00,280.00,9870.00
2024,7,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",227.00,91.00,23.59,8.81,27.59,0.08,30.93,11.00,2.00,8722.00,2869.00,794.00,1727.00,13.00,3319.00
2024,7,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",692.00,248.00,155.96,46.43,44.39,1.22,0.00,18.00,7.00,26322.00,17270.00,4968.00,4021.00,63.00,0.00
2024,7,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",658.00,238.00,74.66,5.71,80.84,0.00,76.80,26.00,6.00,20495.00,6198.00,437.00,4943.00,0.00,8917.00
2024,7,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2743.00,913.00,275.84,25.20,227.29,3.16,381.51,13.00,25.00,56132.00,14884.00,2687.00,12718.00,124.00,25719.00
2024,7,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",92.00,41.00,14.37,2.04,17.20,0.00,7.40,3.00,2.00,3972.00,1540.00,213.00,1096.00,0.00,1123.00
2024,7,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",49.00,9.00,2.42,0.17,5.38,0.00,1.03,2.00,0.00,997.00,576.00,20.00,309.00,0.00,92.00
2024,6,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",61.00,5.00,1.08,0.90,1.44,0.00,1.58,0.00,0.00,418.00,63.00,183.00,105.00,0.00,67.00
2024,6,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",62.00,17.00,5.22,0.92,2.15,0.00,8.72,0.00,1.00,1300.00,454.00,47.00,167.00,0.00,632.00
2024,6,NK,Spirit Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",830.00,287.00,74.77,6.23,134.48,9.64,61.88,16.00,1.00,16830.00,4105.00,539.00,7473.00,398.00,4315.00
2024,6,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",203.00,26.00,8.17,2.25,10.81,0.00,4.77,0.00,0.00,1994.00,513.00,407.00,356.00,0.00,718.00
2024,6,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",737.00,168.00,119.34,34.27,12.56,1.82,0.00,1.00,0.00,20104.00,15707.00,3516.00,845.00,36.00,0.00
2024,6,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",662.00,178.00,63.27,3.32,34.87,0.00,76.54,5.00,0.00,13910.00,4692.00,476.00,1940.00,0.00,6802.00
2024,6,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2731.00,572.00,187.56,15.83,71.03,4.45,293.13,15.00,1.00,32191.00,9249.00,1246.00,2780.00,151.00,18765.00
2024,6,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",42.00,13.00,7.19,1.46,1.71,0.00,2.64,1.00,0.00,699.00,326.00,59.00,58.00,0.00,256.00
2024,6,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1869.00,207.00,59.50,10.25,45.20,0.00,92.05,3.00,0.00,14118.00,6354.00,536.00,1704.00,0.00,5524.00
2024,6,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",745.00,307.00,96.57,12.31,42.45,0.26,155.41,18.00,0.00,30807.00,8760.00,1650.00,2308.00,35.00,18054.00
